"Wavelength, µm","n","k"
0.397,4.5714,2.6864
0.3972,4.1931,2.3927
0.3974,4.0444,2.3277
0.3976,3.9671,2.2975
0.3978,3.8503,2.2283
0.3981,3.788,2.2159
0.3983,3.7528,2.2102
0.3985,3.7472,2.2136
0.3987,3.7143,2.2102
0.3989,3.695,2.2091
0.3991,3.6848,2.2102
0.3994,3.6859,2.2136
0.3996,3.7007,2.2215
0.3998,3.6995,2.2204
0.4,3.7007,2.2147
0.4002,3.6995,2.2068
0.4004,3.7007,2.2034
0.4007,3.7018,2.1955
0.4009,3.6939,2.1875
0.4011,3.6859,2.1796
0.4013,3.6893,2.1785
0.4015,3.6791,2.1728
0.4018,3.6735,2.1648
0.402,3.6655,2.1569
0.4022,3.6531,2.1512
0.4024,3.6315,2.1456
0.4026,3.619,2.1376
0.4028,3.593,2.132
0.4031,3.585,2.1331
0.4033,3.593,2.1388
0.4035,3.6032,2.1444
0.4037,3.6066,2.1456
0.4039,3.6168,2.149
0.4041,3.6179,2.1546
0.4044,3.6327,2.158
0.4046,3.6406,2.1569
0.4048,3.6395,2.158
0.405,3.6315,2.1546
0.4052,3.6304,2.1512
0.4055,3.6315,2.1478
0.4057,3.6349,2.1376
0.4059,3.6293,2.1297
0.4061,3.6168,2.1218
0.4063,3.593,2.107
0.4065,3.5646,2.0923
0.4068,3.534,2.0775
0.407,3.5034,2.0605
0.4072,3.4751,2.0458
0.4074,3.4444,2.0311
0.4076,3.4161,2.0163
0.4078,3.3991,2.0016
0.4081,3.3889,1.9868
0.4083,3.3855,1.9789
0.4085,3.3844,1.9732
0.4087,3.3832,1.9676
0.4089,3.3844,1.9619
0.4092,3.3855,1.954
0.4094,3.3889,1.9483
0.4096,3.3968,1.9426
0.4098,3.4116,1.9324
0.41,3.424,1.9222
0.4102,3.4388,1.9143
0.4105,3.4558,1.9041
0.4107,3.4728,1.8961
0.4109,3.4943,1.8859
0.4111,3.5045,1.8803
0.4113,3.5079,1.8723
0.4116,3.5091,1.8621
0.4118,3.4989,1.8519
0.412,3.5,1.8417
0.4122,3.5057,1.8315
0.4124,3.5045,1.8258
0.4126,3.5079,1.8179
0.4129,3.5091,1.8145
0.4131,3.5034,1.8111
0.4133,3.5045,1.8077
0.4135,3.4943,1.8043
0.4137,3.4887,1.7986
0.414,3.4739,1.793
0.4142,3.4592,1.7873
0.4144,3.4467,1.7794
0.4146,3.4456,1.7714
0.4148,3.4422,1.7635
0.415,3.4342,1.7556
0.4153,3.4172,1.7499
0.4155,3.407,1.7419
0.4157,3.3968,1.7363
0.4159,3.3844,1.7306
0.4161,3.3673,1.7249
0.4164,3.3526,1.7193
0.4166,3.3447,1.7136
0.4168,3.339,1.7079
0.417,3.3333,1.7023
0.4172,3.3322,1.6966
0.4174,3.3311,1.6909
0.4177,3.3299,1.6853
0.4179,3.3243,1.6819
0.4181,3.3186,1.6785
0.4183,3.3175,1.6773
0.4185,3.3141,1.6762
0.4188,3.3061,1.6728
0.419,3.2959,1.6694
0.4192,3.2834,1.6682
0.4194,3.2755,1.6671
0.4196,3.2698,1.666
0.4198,3.2596,1.6626
0.4201,3.2517,1.6592
0.4203,3.246,1.6558
0.4205,3.2381,1.6546
0.4207,3.2302,1.6535
0.4209,3.2222,1.6501
0.4212,3.2098,1.649
0.4214,3.195,1.6478
0.4216,3.1757,1.649
0.4218,3.1565,1.6501
0.422,3.1417,1.649
0.4223,3.127,1.6456
0.4225,3.1077,1.6422
0.4227,3.0839,1.6388
0.4229,3.0556,1.6376
0.4231,3.0317,1.6342
0.4233,3.0034,1.6331
0.4236,2.9751,1.632
0.4238,2.9444,1.6308
0.424,2.9138,1.6297
0.4242,2.8878,1.6286
0.4244,2.8662,1.6252
0.4247,2.8356,1.624
0.4249,2.8118,1.6206
0.4251,2.7857,1.6195
0.4253,2.7642,1.6184
0.4255,2.7449,1.6195
0.4258,2.7347,1.6184
0.426,2.7245,1.6195
0.4262,2.7256,1.6184
0.4264,2.7222,1.6195
0.4266,2.7211,1.6206
0.4269,2.72,1.624
0.4271,2.7234,1.6252
0.4273,2.7222,1.6286
0.4275,2.7188,1.632
0.4277,2.7154,1.6354
0.4279,2.7166,1.6388
0.4282,2.72,1.6422
0.4284,2.7211,1.6433
0.4286,2.72,1.6467
0.4288,2.7211,1.6478
0.429,2.7222,1.649
0.4293,2.7256,1.6501
0.4295,2.7313,1.649
0.4297,2.737,1.6478
0.4299,2.7449,1.6467
0.4301,2.7574,1.6433
0.4304,2.7721,1.6422
0.4306,2.7959,1.6388
0.4308,2.8197,1.6354
0.431,2.8481,1.632
0.4312,2.8832,1.6263
0.4315,2.9206,1.6206
0.4317,2.9603,1.6172
0.4319,3,1.6116
0.4321,3.0397,1.6082
0.4323,3.0816,1.6048
0.4326,3.119,1.6014
0.4328,3.1519,1.6002
0.433,3.1848,1.6014
0.4332,3.22,1.6002
0.4334,3.2528,1.5991
0.4337,3.2834,1.598
0.4339,3.3141,1.5968
0.4341,3.3469,1.598
0.4343,3.3798,1.5968
0.4345,3.4127,1.5934
0.4348,3.4433,1.5923
0.435,3.4762,1.5912
0.4352,3.5113,1.5878
0.4354,3.5465,1.5866
0.4356,3.5816,1.5855
0.4359,3.619,1.5843
0.4361,3.6587,1.5832
0.4363,3.7007,1.5798
0.4365,3.7404,1.5787
0.4367,3.78,1.5775
0.4369,3.8197,1.5741
0.4372,3.8571,1.5707
0.4374,3.8946,1.5673
0.4376,3.932,1.5662
0.4378,3.9649,1.5651
0.438,4,1.5617
0.4383,4.0351,1.5583
0.4385,4.0658,1.5571
0.4387,4.0986,1.5537
0.4389,4.1293,1.5503
0.4391,4.1599,1.5447
0.4394,4.1882,1.5413
0.4396,4.2166,1.5379
0.4398,4.2449,1.5367
0.44,4.2778,1.5333
0.4402,4.3084,1.5299
0.4405,4.339,1.5265
0.4407,4.3696,1.5254
0.4409,4.4025,1.522
0.4411,4.4354,1.5209
0.4413,4.466,1.5197
0.4416,4.4966,1.5186
0.4418,4.5295,1.5175
0.442,4.5624,1.5163
0.4422,4.5952,1.5152
0.4424,4.6281,1.5141
0.4427,4.661,1.5107
0.4429,4.6939,1.5073
0.4431,4.7245,1.5039
0.4433,4.7528,1.5004
0.4435,4.7812,1.4993
0.4438,4.8095,1.4959
0.444,4.8356,1.4925
0.4442,4.8617,1.4914
0.4444,4.8855,1.488
0.4447,4.9093,1.4846
0.4449,4.9331,1.4812
0.4451,4.9569,1.4778
0.4453,4.9785,1.4744
0.4455,5.0023,1.4732
0.4458,5.0238,1.4698
0.446,5.0499,1.4664
0.4462,5.0737,1.463
0.4464,5.0975,1.4619
0.4466,5.1213,1.4585
0.4469,5.1451,1.4551
0.4471,5.1689,1.4517
0.4473,5.1927,1.4483
0.4475,5.2143,1.4449
0.4477,5.2381,1.4438
0.448,5.2619,1.4404
0.4482,5.2857,1.437
0.4484,5.3073,1.4336
0.4486,5.3311,1.4279
0.4488,5.3526,1.4245
0.4491,5.3741,1.4211
0.4493,5.3912,1.4154
0.4495,5.4082,1.4097
0.4497,5.4229,1.4041
0.4499,5.4376,1.4007
0.4502,5.4478,1.3973
0.4504,5.4603,1.3916
0.4506,5.4705,1.3859
0.4508,5.4853,1.3825
0.451,5.4955,1.3791
0.4513,5.5079,1.3757
0.4515,5.5181,1.3701
0.4517,5.5283,1.3667
0.4519,5.5363,1.3633
0.4521,5.5442,1.3599
0.4524,5.5499,1.3542
0.4526,5.5578,1.3485
0.4528,5.5635,1.3429
0.453,5.5714,1.3372
0.4533,5.5794,1.3315
0.4535,5.5873,1.3258
0.4537,5.5952,1.3202
0.4539,5.6009,1.3145
0.4541,5.6066,1.3088
0.4544,5.61,1.3032
0.4546,5.6134,1.2975
0.4548,5.6168,1.2896
0.455,5.6179,1.2816
0.4552,5.619,1.2737
0.4555,5.6224,1.268
0.4557,5.6236,1.2624
0.4559,5.627,1.2567
0.4561,5.6304,1.251
0.4563,5.6293,1.2453
0.4566,5.6304,1.2419
0.4568,5.6315,1.2385
0.457,5.6304,1.2329
0.4572,5.6315,1.2295
0.4575,5.6304,1.2261
0.4577,5.6293,1.2227
0.4579,5.6304,1.2193
0.4581,5.6315,1.2159
0.4583,5.6304,1.2125
0.4586,5.6315,1.2091
0.4588,5.6327,1.2034
0.459,5.6338,1.2
0.4592,5.6327,1.1966
0.4594,5.6338,1.1932
0.4597,5.6349,1.1875
0.4599,5.6361,1.1819
0.4601,5.6349,1.1762
0.4603,5.6315,1.1705
0.4605,5.6304,1.1626
0.4608,5.6315,1.1569
0.461,5.6304,1.1512
0.4612,5.6293,1.1478
0.4614,5.6281,1.1444
0.4617,5.6247,1.141
0.4619,5.6213,1.1376
0.4621,5.6179,1.1342
0.4623,5.6122,1.1286
0.4625,5.6043,1.1229
0.4628,5.5941,1.1172
0.463,5.5839,1.1116
0.4632,5.576,1.1059
0.4634,5.5703,1.1002
0.4636,5.5624,1.0968
0.4639,5.5544,1.0934
0.4641,5.5488,1.09
0.4643,5.5431,1.0843
0.4645,5.5374,1.0787
0.4648,5.5317,1.0753
0.465,5.5261,1.0719
0.4652,5.5204,1.0662
0.4654,5.517,1.0605
0.4656,5.5136,1.0571
0.4659,5.5102,1.0537
0.4661,5.5091,1.0503
0.4663,5.5079,1.0469
0.4665,5.5045,1.0435
0.4667,5.5034,1.0401
0.467,5.5,1.039
0.4672,5.4966,1.0356
0.4674,5.4932,1.0322
0.4676,5.4875,1.0288
0.4679,5.4819,1.0254
0.4681,5.4762,1.022
0.4683,5.4683,1.0186
0.4685,5.4603,1.0152
0.4687,5.4546,1.0118
0.469,5.449,1.0084
0.4692,5.4433,1.0073
0.4694,5.4376,1.0039
0.4696,5.432,1.0004
0.4699,5.4286,0.99705
0.4701,5.4252,0.99138
0.4703,5.4195,0.98571
0.4705,5.4138,0.98231
0.4707,5.4082,0.97664
0.471,5.4025,0.97097
0.4712,5.3991,0.96757
0.4714,5.3934,0.96417
0.4716,5.3878,0.96077
0.4719,5.3821,0.95737
0.4721,5.3764,0.9517
0.4723,5.3707,0.9483
0.4725,5.3651,0.94489
0.4727,5.3571,0.93922
0.473,5.3492,0.93582
0.4732,5.3413,0.93242
0.4734,5.3333,0.93129
0.4736,5.3277,0.93015
0.4739,5.322,0.92675
0.4741,5.3163,0.92562
0.4743,5.3107,0.92449
0.4745,5.305,0.92108
0.4747,5.2993,0.91995
0.475,5.2937,0.91655
0.4752,5.288,0.91315
0.4754,5.2823,0.91201
0.4756,5.2766,0.90861
0.4759,5.271,0.90748
0.4761,5.2653,0.90634
0.4763,5.2596,0.90294
0.4765,5.254,0.89954
0.4767,5.246,0.89841
0.477,5.2381,0.89501
0.4772,5.2302,0.89387
0.4774,5.2222,0.89047
0.4776,5.2143,0.88707
0.4779,5.2063,0.88594
0.4781,5.1984,0.8848
0.4783,5.1905,0.88367
0.4785,5.1825,0.88254
0.4787,5.1746,0.8814
0.479,5.1689,0.88027
0.4792,5.1633,0.8814
0.4794,5.1576,0.88027
0.4796,5.1519,0.8814
0.4799,5.1463,0.88027
0.4801,5.1406,0.8814
0.4803,5.1349,0.88027
0.4805,5.127,0.87913
0.4807,5.119,0.878
0.481,5.1111,0.87687
0.4812,5.1032,0.87347
0.4814,5.0952,0.87233
0.4816,5.0896,0.86893
0.4819,5.0839,0.8678
0.4821,5.0782,0.86666
0.4823,5.0726,0.86553
0.4825,5.0669,0.86439
0.4827,5.0612,0.86553
0.483,5.0556,0.86439
0.4832,5.0476,0.86553
0.4834,5.0397,0.86439
0.4836,5.0317,0.86553
0.4839,5.0261,0.86439
0.4841,5.0204,0.86553
0.4843,5.0147,0.86439
0.4845,5.0091,0.86553
0.4848,5.0034,0.86439
0.485,4.9977,0.86553
0.4852,4.9921,0.86439
0.4854,4.9841,0.86553
0.4856,4.9762,0.86666
0.4859,4.9683,0.8678
0.4861,4.9603,0.86893
0.4863,4.9546,0.87006
0.4865,4.949,0.8712
0.4868,4.9433,0.87233
0.487,4.9376,0.87347
0.4872,4.932,0.87233
0.4874,4.924,0.87347
0.4877,4.9161,0.87233
0.4879,4.9059,0.87347
0.4881,4.8957,0.87233
0.4883,4.8855,0.87347
0.4885,4.8753,0.8746
0.4888,4.8673,0.87573
0.489,4.8617,0.87687
0.4892,4.856,0.878
0.4894,4.8481,0.87913
0.4897,4.8424,0.88027
0.4899,4.8367,0.8814
0.4901,4.8288,0.88254
0.4903,4.8186,0.88367
0.4906,4.8084,0.8848
0.4908,4.8005,0.8882
0.491,4.7948,0.88934
0.4912,4.7868,0.89274
0.4914,4.7789,0.89614
0.4917,4.7732,0.89727
0.4919,4.7676,0.90068
0.4921,4.7619,0.90408
0.4923,4.754,0.90521
0.4926,4.746,0.90861
0.4928,4.7381,0.91201
0.493,4.7302,0.91315
0.4932,4.7222,0.91655
0.4935,4.7143,0.91995
0.4937,4.7063,0.92335
0.4939,4.7007,0.92675
0.4941,4.6927,0.93015
0.4943,4.6848,0.93356
0.4946,4.6769,0.93922
0.4948,4.6712,0.94263
0.495,4.6633,0.94603
0.4952,4.6553,0.94943
0.4955,4.6474,0.95283
0.4957,4.6395,0.95623
0.4959,4.6338,0.95963
0.4961,4.6281,0.96303
0.4964,4.6202,0.9687
0.4966,4.6145,0.9721
0.4968,4.6088,0.97551
0.497,4.6032,0.98117
0.4973,4.5998,0.98684
0.4975,4.5941,0.99251
0.4977,4.5884,0.99818
0.4979,4.585,1.0016
0.4981,4.5816,1.0073
0.4984,4.5782,1.0129
0.4986,4.5726,1.0186
0.4988,4.5692,1.0243
0.499,4.5658,1.0299
0.4993,4.5624,1.0356
0.4995,4.5567,1.0435
0.4997,4.551,1.0492
0.4999,4.5454,1.0549
0.5002,4.5397,1.0605
0.5004,4.5317,1.0662
0.5006,4.5238,1.0719
0.5008,4.5159,1.0775
0.5011,4.5079,1.0832
0.5013,4.5,1.0912
0.5015,4.4921,1.0991
0.5017,4.4864,1.1048
0.502,4.4807,1.1104
0.5022,4.4751,1.1161
0.5024,4.4694,1.1218
0.5026,4.4637,1.1274
0.5028,4.458,1.1331
0.5031,4.4546,1.1388
0.5033,4.449,1.1467
0.5035,4.4456,1.1546
0.5037,4.4422,1.1626
0.504,4.4388,1.1728
0.5042,4.4376,1.1807
0.5044,4.4365,1.1887
0.5046,4.4331,1.1966
0.5049,4.4297,1.2045
0.5051,4.4263,1.2125
0.5053,4.4229,1.2227
0.5055,4.4195,1.2306
0.5058,4.4161,1.2408
0.506,4.4127,1.251
0.5062,4.4116,1.259
0.5064,4.4127,1.2692
0.5067,4.4116,1.2794
0.5069,4.4127,1.2873
0.5071,4.4138,1.2952
0.5073,4.415,1.3032
0.5076,4.4161,1.3111
0.5078,4.415,1.3213
0.508,4.4138,1.3292
0.5082,4.415,1.3372
0.5084,4.4138,1.3451
0.5087,4.415,1.3531
0.5089,4.4138,1.361
0.5091,4.415,1.3689
0.5093,4.4184,1.3746
0.5096,4.4218,1.3803
0.5098,4.4229,1.3859
0.51,4.4263,1.3916
0.5102,4.4274,1.3973
0.5105,4.4308,1.4029
0.5107,4.432,1.4086
0.5109,4.4331,1.4143
0.5111,4.4342,1.42
0.5114,4.4376,1.4256
0.5116,4.441,1.429
0.5118,4.4467,1.4324
0.512,4.4524,1.4358
0.5123,4.4603,1.437
0.5125,4.4683,1.4404
0.5127,4.4739,1.4438
0.5129,4.4796,1.4449
0.5132,4.4853,1.4483
0.5134,4.4909,1.4494
0.5136,4.4966,1.4506
0.5138,4.5023,1.4517
0.5141,4.5079,1.4528
0.5143,4.5159,1.4517
0.5145,4.5238,1.4528
0.5147,4.5317,1.4517
0.515,4.5397,1.4506
0.5152,4.5476,1.4494
0.5154,4.5556,1.4483
0.5156,4.5635,1.4472
0.5159,4.5714,1.446
0.5161,4.5794,1.4426
0.5163,4.585,1.4415
0.5165,4.5907,1.4404
0.5168,4.5964,1.437
0.517,4.5998,1.4358
0.5172,4.6032,1.4324
0.5174,4.6066,1.429
0.5177,4.61,1.4256
0.5179,4.6134,1.42
0.5181,4.6168,1.4143
0.5183,4.6179,1.4109
0.5186,4.6213,1.4052
0.5188,4.6247,1.3995
0.519,4.6259,1.3939
0.5192,4.627,1.3882
0.5195,4.6304,1.3825
0.5197,4.6338,1.3769
0.5199,4.6372,1.3689
0.5201,4.6406,1.361
0.5204,4.6417,1.3531
0.5206,4.6451,1.3451
0.5208,4.6463,1.3372
0.521,4.6474,1.3292
0.5213,4.6463,1.3213
0.5215,4.6451,1.3134
0.5217,4.644,1.3054
0.5219,4.6429,1.2975
0.5222,4.6417,1.2896
0.5224,4.6406,1.2816
0.5226,4.6395,1.2737
0.5228,4.6383,1.2658
0.5231,4.6372,1.2578
0.5233,4.6338,1.2499
0.5235,4.6327,1.2419
0.5237,4.6293,1.234
0.524,4.6281,1.2261
0.5242,4.6247,1.2181
0.5244,4.6213,1.2102
0.5246,4.6202,1.2023
0.5249,4.619,1.1943
0.5251,4.6156,1.1864
0.5253,4.6145,1.1785
0.5255,4.6111,1.1705
0.5258,4.61,1.1626
0.526,4.6088,1.1546
0.5262,4.6054,1.149
0.5264,4.602,1.1433
0.5267,4.6009,1.1376
0.5269,4.5975,1.132
0.5271,4.5964,1.1263
0.5273,4.593,1.1206
0.5276,4.5896,1.1172
0.5278,4.5884,1.1116
0.528,4.5873,1.1059
0.5282,4.5839,1.1002
0.5285,4.5828,1.0946
0.5287,4.5794,1.0912
0.5289,4.576,1.0878
0.5291,4.5726,1.0821
0.5294,4.5692,1.0764
0.5296,4.5658,1.073
0.5298,4.5624,1.0696
0.53,4.5567,1.0662
0.5303,4.5533,1.0605
0.5305,4.5499,1.0571
0.5307,4.5465,1.0537
