"Wavelength, µm","n","k"
0.665,4.7347,0.056663
0.6653,4.7336,0.055257
0.6655,4.7302,0.053861
0.6657,4.729,0.05238
0.666,4.7302,0.049757
0.6662,4.729,0.048291
0.6664,4.7302,0.045615
0.6667,4.7313,0.04294
0.6669,4.7324,0.040277
0.6671,4.7336,0.03773
0.6674,4.7347,0.036416
0.6676,4.7336,0.035109
0.6678,4.7324,0.033898
0.6681,4.7313,0.033898
0.6683,4.7302,0.033898
0.6685,4.729,0.033893
0.6688,4.7279,0.033812
0.669,4.7268,0.032541
0.6692,4.7256,0.03127
0.6695,4.7268,0.029999
0.6697,4.7256,0.028727
0.6699,4.7245,0.027456
0.6702,4.7234,0.026188
0.6704,4.7222,0.024939
0.6706,4.7211,0.023709
0.6709,4.72,0.022478
0.6711,4.7188,0.021211
0.6713,4.72,0.018792
0.6716,4.7211,0.016372
0.6718,4.7222,0.013937
0.672,4.7256,0.010424
0.6723,4.7268,0.0092346
0.6725,4.7279,0.0080459
0.6727,4.729,0.0068936
0.673,4.7279,0.0068753
0.6732,4.729,0.0057235
0.6734,4.7302,0.0045897
0.6737,4.729,0.0045897
0.6739,4.7302,0.0034376
0.6741,4.7313,0.0022856
0.6744,4.7324,0.0011338
0.6746,4.7336,0
0.6748,4.7347,0
0.6751,4.7336,0
0.6753,4.7324,0
0.6755,4.7313,0
0.6758,4.7302,0
0.676,4.7268,0
0.6762,4.7256,0
0.6765,4.7222,0
0.6767,4.7211,0
0.6769,4.72,0
0.6772,4.7166,0
0.6774,4.7154,0
0.6776,4.7143,0
0.6779,4.7109,0
0.6781,4.7098,0
0.6783,4.7063,0
0.6786,4.7052,0
0.6788,4.7041,0
0.679,4.7029,0
0.6793,4.7018,0
0.6795,4.7029,0
0.6797,4.7018,0
0.68,4.7029,0
0.6802,4.7018,0
0.6804,4.7029,0
0.6807,4.7018,0
0.6809,4.7029,0
0.6811,4.7018,0
0.6814,4.7007,0
0.6816,4.6995,0
0.6818,4.7007,0
0.6821,4.6995,0
0.6823,4.6984,0
0.6825,4.6973,0
0.6828,4.6961,0
0.683,4.6973,0
0.6832,4.6984,0
0.6835,4.6973,0
0.6837,4.6984,0
0.6839,4.6995,0
0.6842,4.6984,0
0.6844,4.6995,0
0.6846,4.6984,0
0.6849,4.6973,0
0.6851,4.6961,0
0.6853,4.6927,0
0.6856,4.6916,0
0.6858,4.6905,0
0.686,4.6871,0
0.6863,4.6859,0
0.6865,4.6825,0
0.6867,4.6814,0
0.687,4.6803,0
0.6872,4.6791,0
0.6874,4.678,0
0.6877,4.6791,0
0.6879,4.6803,0
0.6881,4.6814,0
0.6884,4.6825,0
0.6886,4.6859,0
0.6888,4.6871,0
0.6891,4.6905,0
0.6893,4.6916,0
0.6895,4.6905,0
0.6898,4.6916,0
0.69,4.6905,0
0.6902,4.6893,0
0.6905,4.6882,0
0.6907,4.6871,0
0.6909,4.6859,0
0.6912,4.6871,0
0.6914,4.6859,0
0.6916,4.6848,0
0.6919,4.6814,0
0.6921,4.6803,0
0.6923,4.6769,0
0.6926,4.6735,0
0.6928,4.6701,0
0.693,4.6689,0
0.6933,4.6678,0
0.6935,4.6689,0
0.6937,4.6678,0
0.694,4.6667,0
0.6942,4.6678,0
0.6945,4.6667,0
0.6947,4.6633,0
0.6949,4.6621,0
0.6952,4.6587,0
0.6954,4.6576,0
0.6956,4.6587,0
0.6959,4.6576,0
0.6961,4.6587,0
0.6963,4.6621,0
0.6966,4.6633,0
0.6968,4.6667,0
0.697,4.6678,0
0.6973,4.6667,0
0.6975,4.6678,0
0.6977,4.6667,0
0.698,4.6655,0
0.6982,4.6644,0
0.6984,4.6633,0
0.6987,4.6621,0
0.6989,4.6633,0
0.6991,4.6621,0
0.6994,4.6633,0
0.6996,4.6621,0
0.6998,4.661,0
0.7001,4.6599,0
0.7003,4.6587,0
0.7005,4.6576,0
0.7008,4.6565,0
0.701,4.6553,0
0.7012,4.6565,0
0.7015,4.6576,0
0.7017,4.6587,0
0.7019,4.6599,0
0.7022,4.661,0
0.7024,4.6621,0
0.7027,4.661,0
0.7029,4.6599,0
0.7031,4.6587,0
0.7034,4.6553,0
0.7036,4.6542,0
0.7038,4.6508,0
0.7041,4.6497,0
0.7043,4.6485,0
0.7045,4.6451,0
0.7048,4.6417,0
0.705,4.6406,0
0.7052,4.6372,0
0.7055,4.6338,0
0.7057,4.6281,0
0.7059,4.6247,0
0.7062,4.6213,0
0.7064,4.6202,0
0.7066,4.6168,0
0.7069,4.6134,0
0.7071,4.6122,0
0.7073,4.6111,0
0.7076,4.6077,0
0.7078,4.6066,0
0.708,4.6032,0
0.7083,4.5998,0
0.7085,4.5986,0
0.7088,4.5952,0
0.709,4.5918,0
0.7092,4.5907,0
0.7095,4.5873,0
0.7097,4.5839,0
0.7099,4.5828,0
0.7102,4.5794,0
0.7104,4.5782,0
0.7106,4.5771,0
0.7109,4.5737,0
0.7111,4.5726,0
0.7113,4.5714,0
0.7116,4.5703,0
0.7118,4.5714,0
0.712,4.5703,0
0.7123,4.5714,0
0.7125,4.5726,0
0.7127,4.5714,0
0.713,4.5703,0
0.7132,4.5692,0
0.7134,4.5658,0
0.7137,4.5624,0
0.7139,4.5567,0
0.7142,4.5533,0
0.7144,4.5499,0
0.7146,4.5465,0
0.7149,4.5431,0
0.7151,4.5397,0
0.7153,4.5385,0
0.7156,4.5374,0
0.7158,4.5363,0
0.716,4.5351,0
0.7163,4.534,0
0.7165,4.5329,0
0.7167,4.5317,0
0.717,4.5306,0
0.7172,4.5295,0
0.7174,4.5283,0
0.7177,4.5272,0
0.7179,4.5261,0
0.7182,4.5227,0
0.7184,4.5193,0
0.7186,4.5159,0
0.7189,4.5125,0
0.7191,4.5068,0
0.7193,4.5011,0
0.7196,4.4977,0
0.7198,4.4943,0
0.72,4.4932,0
0.7203,4.4898,0
0.7205,4.4887,0
0.7207,4.4875,0
0.721,4.4864,0
0.7212,4.483,0
0.7214,4.4819,0
0.7217,4.4785,0
0.7219,4.4751,0
0.7222,4.4694,0
0.7224,4.4637,0
0.7226,4.458,0
0.7229,4.4524,0
0.7231,4.4444,0
0.7233,4.4365,0
0.7236,4.4308,0
0.7238,4.4252,0
0.724,4.4195,0
0.7243,4.4138,0
0.7245,4.4104,0
0.7247,4.407,0
0.725,4.4036,0
0.7252,4.4002,0
0.7254,4.3991,0
0.7257,4.398,0
0.7259,4.3991,0
0.7262,4.398,0
0.7264,4.3991,0
0.7266,4.4002,0
0.7269,4.4014,0
0.7271,4.4002,0
0.7273,4.3991,0
0.7276,4.3957,0
0.7278,4.3923,0
0.728,4.3866,0
0.7283,4.381,0
0.7285,4.373,0
0.7287,4.3651,0
0.729,4.3571,0
0.7292,4.3492,0
0.7295,4.3413,0
0.7297,4.3333,0
0.7299,4.3277,0
0.7302,4.322,0
0.7304,4.3163,0
0.7306,4.3107,0
0.7309,4.3073,0
0.7311,4.3039,0
0.7313,4.3005,0
0.7316,4.2948,0
0.7318,4.2914,0
0.732,4.288,0
0.7323,4.2846,0
0.7325,4.2789,0
0.7328,4.2755,0
0.733,4.2721,0
0.7332,4.2687,0
0.7335,4.263,0
0.7337,4.2574,0
0.7339,4.2517,0
0.7342,4.246,0
0.7344,4.2381,0
0.7346,4.2324,0
0.7349,4.2268,0
0.7351,4.2211,0
0.7353,4.2177,0
0.7356,4.2143,0
0.7358,4.2109,0
0.7361,4.2075,0
0.7363,4.2018,0
0.7365,4.1984,0
0.7368,4.195,0
0.737,4.1893,0
0.7372,4.1837,0
0.7375,4.178,0
0.7377,4.1723,0
0.7379,4.1667,0
0.7382,4.1587,0
0.7384,4.1508,0
0.7387,4.1429,0
0.7389,4.1349,0
0.7391,4.127,0
0.7394,4.119,0
0.7396,4.1088,0
0.7398,4.1009,0
0.7401,4.093,0
0.7403,4.085,0
0.7405,4.0748,0
0.7408,4.0646,0
0.741,4.0567,0
0.7413,4.051,0
0.7415,4.0431,0
0.7417,4.0351,0
0.742,4.0272,0
0.7422,4.0215,0
0.7424,4.0181,0
0.7427,4.0125,0
0.7429,4.0068,0
0.7431,4.0011,0
0.7434,3.9955,0
0.7436,3.9898,0
0.7438,3.9864,0
0.7441,3.9807,0
0.7443,3.9751,0
0.7446,3.9717,0
0.7448,3.9683,0
0.745,3.9649,0
0.7453,3.9615,0
0.7455,3.9535,0
0.7457,3.9478,0
0.746,3.9422,0
0.7462,3.9342,0
0.7465,3.9263,0
0.7467,3.9184,0
0.7469,3.9104,0
0.7472,3.9025,0
0.7474,3.8946,0
0.7476,3.8844,0
0.7479,3.8741,0
0.7481,3.8617,0
0.7483,3.8492,0
0.7486,3.839,0
0.7488,3.8311,0
0.7491,3.8209,0
0.7493,3.8107,0
0.7495,3.8027,0
0.7498,3.7971,0
0.75,3.7937,0
0.7502,3.788,0
0.7505,3.7846,0
0.7507,3.7812,0
0.7509,3.78,0
0.7512,3.7766,0
0.7514,3.7755,0
0.7517,3.7744,0
0.7519,3.7732,0
0.7521,3.7698,0
0.7524,3.7664,0
0.7526,3.7653,0
0.7528,3.7642,0
0.7531,3.763,0
0.7533,3.7574,0
0.7535,3.7517,0
0.7538,3.7483,0
0.754,3.7426,0
0.7543,3.7347,0
0.7545,3.729,0
0.7547,3.7211,0
0.755,3.7154,0
0.7552,3.7098,0
0.7554,3.7018,0
0.7557,3.6984,0
0.7559,3.6973,0
0.7562,3.6939,0
0.7564,3.6927,0
0.7566,3.6893,0
0.7569,3.6882,0
0.7571,3.6871,0
0.7573,3.6837,0
0.7576,3.6803,0
0.7578,3.6769,0
0.758,3.6712,0
0.7583,3.6655,0
0.7585,3.6576,0
0.7588,3.6474,0
0.759,3.6395,0
0.7592,3.6293,0
0.7595,3.6168,0
0.7597,3.6043,0
0.7599,3.5941,0
0.7602,3.5816,0
0.7604,3.5737,0
0.7607,3.5635,0
0.7609,3.5533,0
0.7611,3.5476,0
0.7614,3.542,0
0.7616,3.5363,0
0.7618,3.5351,0
0.7621,3.534,0
0.7623,3.5329,0
0.7626,3.5295,0
0.7628,3.5238,0
0.763,3.5181,0
0.7633,3.5125,0
0.7635,3.5045,0
0.7637,3.4966,0
0.764,3.4864,0
0.7642,3.4785,0
0.7644,3.4705,0
0.7647,3.4626,0
0.7649,3.4546,0
0.7652,3.4467,0
0.7654,3.4365,0
0.7656,3.4286,0
0.7659,3.4206,0
0.7661,3.415,0
0.7663,3.4116,0
0.7666,3.4082,0
0.7668,3.407,0
0.7671,3.4082,0
0.7673,3.4093,0
0.7675,3.4104,0
0.7678,3.4116,0
0.768,3.4104,0
0.7682,3.4093,0
0.7685,3.4082,0
0.7687,3.407,0
0.769,3.4036,0
0.7692,3.4025,0
0.7694,3.3991,0
0.7697,3.398,0
0.7699,3.3968,0
0.7701,3.3934,0
0.7704,3.3855,0
0.7706,3.3798,0
0.7709,3.3719,0
0.7711,3.3639,0
0.7713,3.3537,0
0.7716,3.3458,0
0.7718,3.3379,0
0.772,3.3322,0
0.7723,3.3265,0
0.7725,3.3231,0
0.7728,3.3197,0
0.773,3.3209,0
0.7732,3.3197,0
0.7735,3.3186,0
0.7737,3.3197,0
0.7739,3.3254,0
0.7742,3.3333,0
0.7744,3.3413,0
0.7747,3.3469,0
0.7749,3.3526,0
0.7751,3.3605,0
0.7754,3.3662,0
0.7756,3.3673,0
0.7758,3.3662,0
0.7761,3.3651,0
0.7763,3.3617,0
0.7766,3.3605,0
0.7768,3.3594,0
0.777,3.3605,0
0.7773,3.3617,0
0.7775,3.3605,0
0.7777,3.3594,0
0.778,3.3583,0
0.7782,3.3549,0
0.7785,3.3537,0
0.7787,3.3526,0
0.7789,3.3515,0
0.7792,3.3526,0
0.7794,3.3537,0
0.7797,3.3571,0
0.7799,3.3628,0
0.7801,3.3617,0
0.7804,3.3583,0
0.7806,3.3549,0
0.7808,3.3515,0
0.7811,3.3481,0
0.7813,3.3424,0
0.7816,3.3345,0
0.7818,3.3265,0
0.782,3.3186,0
0.7823,3.3107,0
0.7825,3.3005,0
0.7827,3.2902,0
0.783,3.28,0
0.7832,3.2721,0
0.7835,3.2642,0
0.7837,3.2608,0
0.7839,3.2619,0
0.7842,3.263,0
0.7844,3.2664,0
0.7846,3.2698,0
0.7849,3.2732,0
0.7851,3.2812,0
0.7854,3.2891,0
0.7856,3.2925,0
0.7858,3.2959,0
0.7861,3.2971,0
0.7863,3.3005,0
0.7866,3.3061,0
0.7868,3.3095,0
0.787,3.3107,0
0.7873,3.3095,0
0.7875,3.3084,0
0.7877,3.3095,0
0.788,3.3061,0
0.7882,3.2982,0
0.7885,3.2925,0
0.7887,3.2868,0
0.7889,3.2812,0
0.7892,3.28,0
0.7894,3.2766,0
0.7897,3.2778,0
0.7899,3.2812,0
0.7901,3.2778,0
0.7904,3.2789,0
0.7906,3.2823,0
0.7908,3.2834,0
0.7911,3.2846,0
0.7913,3.2812,0
0.7916,3.2778,0
0.7918,3.2834,0
0.792,3.28,0
0.7923,3.2789,0
0.7925,3.2778,0
0.7927,3.2744,0
0.793,3.271,0
0.7932,3.2653,0
0.7935,3.2574,0
0.7937,3.254,0
0.7939,3.2438,0
0.7942,3.2336,0
0.7944,3.2256,0
0.7947,3.22,0
0.7949,3.2188,0
0.7951,3.2177,0
0.7954,3.2143,0
0.7956,3.2154,0
0.7958,3.2166,0
0.7961,3.22,0
0.7963,3.2279,0
0.7966,3.2336,0
0.7968,3.2392,0
0.797,3.2472,0
0.7973,3.2574,0
0.7975,3.2698,0
0.7978,3.28,0
0.798,3.2857,0
0.7982,3.2914,0
0.7985,3.2948,0
0.7987,3.2937,0
0.799,3.2902,0
0.7992,3.2846,0
0.7994,3.2789,0
0.7997,3.2755,0
0.7999,3.2721,0
0.8001,3.2664,0
0.8004,3.2653,0
0.8006,3.2619,0
0.8009,3.263,0
0.8011,3.2642,0
0.8013,3.263,0
0.8016,3.2642,0
0.8018,3.2653,0
0.8021,3.2687,0
0.8023,3.2744,0
0.8025,3.2778,0
0.8028,3.2812,0
0.803,3.2868,0
0.8032,3.2902,0
0.8035,3.2982,0
0.8037,3.3084,0
0.804,3.3209,0
0.8042,3.3265,0
0.8044,3.3322,0
0.8047,3.3356,0
0.8049,3.339,0
0.8052,3.3401,0
0.8054,3.339,0
0.8056,3.3379,0
0.8059,3.3435,0
0.8061,3.3469,0
0.8064,3.3526,0
0.8066,3.3537,0
0.8068,3.3549,0
0.8071,3.3515,0
0.8073,3.3458,0
0.8075,3.3356,0
0.8078,3.3299,0
0.808,3.322,0
0.8083,3.3231,0
0.8085,3.3265,0
0.8087,3.3345,0
0.809,3.3447,0
0.8092,3.3571,0
0.8095,3.3651,0
0.8097,3.3753,0
0.8099,3.3832,0
0.8102,3.3912,0
0.8104,3.3946,0
0.8107,3.398,0
0.8109,3.4014,0
0.8111,3.407,0
0.8114,3.4127,0
0.8116,3.4229,0
0.8119,3.4286,0
0.8121,3.4365,0
0.8123,3.4354,0
0.8126,3.4342,0
0.8128,3.4376,0
0.813,3.441,0
0.8133,3.4376,0
0.8135,3.4365,0
0.8138,3.4354,0
0.814,3.4433,0
0.8142,3.449,0
0.8145,3.4524,0
0.8147,3.458,0
0.815,3.4637,0
0.8152,3.4739,0
0.8154,3.4841,0
0.8157,3.4943,0
0.8159,3.5113,0
0.8162,3.5306,0
0.8164,3.5454,0
0.8166,3.5488,0
0.8169,3.5499,0
0.8171,3.5465,0
0.8174,3.5385,0
0.8176,3.5238,0
0.8178,3.5113,0
0.8181,3.5011,0
0.8183,3.5,0
0.8185,3.4943,0
0.8188,3.4887,0
0.819,3.483,0
0.8193,3.4796,0
0.8195,3.4649,0
0.8197,3.4478,0
0.82,3.4308,0
0.8202,3.432,0
0.8205,3.4354,0
0.8207,3.4478,0
0.8209,3.4603,0
0.8212,3.4819,0
0.8214,3.5011,0
0.8217,3.5249,0
0.8219,3.5329,0
0.8221,3.5454,0
0.8224,3.551,0
0.8226,3.5567,0
0.8229,3.5624,0
0.8231,3.5726,0
0.8233,3.5737,0
0.8236,3.5748,0
0.8238,3.5737,0
0.8241,3.5703,0
0.8243,3.5692,0
0.8245,3.5658,0
0.8248,3.5624,0
0.825,3.5635,0
0.8253,3.5669,0
0.8255,3.568,0
0.8257,3.5714,0
0.826,3.5658,0
0.8262,3.5669,0
0.8265,3.5658,0
0.8267,3.5692,0
0.8269,3.5771,0
0.8272,3.5828,0
0.8274,3.5839,0
0.8277,3.5941,0
0.8279,3.593,0
0.8281,3.5918,0
0.8284,3.5884,0
0.8286,3.5805,0
0.8289,3.5748,0
0.8291,3.5714,0
0.8293,3.568,0
0.8296,3.576,0
0.8298,3.5816,0
0.8301,3.5873,0
0.8303,3.5862,0
0.8305,3.5896,0
0.8308,3.602,0
0.831,3.6145,0
0.8313,3.6202,0
0.8315,3.6281,0
0.8317,3.6361,0
0.832,3.6553,0
0.8322,3.6769,0
0.8325,3.6712,0
0.8327,3.6633,0
0.8329,3.6508,0
0.8332,3.6406,0
0.8334,3.6327,0
0.8337,3.6179,0
0.8339,3.5986,0
0.8341,3.593,0
0.8344,3.5805,0
0.8346,3.5726,0
0.8349,3.5646,0
0.8351,3.5522,0
0.8353,3.5465,0
0.8356,3.5317,0
0.8358,3.517,0
0.8361,3.5227,0
0.8363,3.5329,0
0.8365,3.5431,0
0.8368,3.551,0
0.837,3.5431,0
0.8373,3.542,0
0.8375,3.5522,0
0.8377,3.5488,0
0.838,3.5385,0
0.8382,3.5283,0
0.8385,3.5159,0
0.8387,3.517,0
0.8389,3.5181,0
0.8392,3.517,0
0.8394,3.5249,0
0.8397,3.5374,0
0.8399,3.5431,0
0.8401,3.5578,0
0.8404,3.5703,0
0.8406,3.5873,0
0.8409,3.602,0
0.8411,3.6032,0
0.8413,3.6043,0
0.8416,3.6122,0
0.8418,3.6247,0
0.8421,3.6395,0
0.8423,3.6474,0
0.8425,3.6531,0
0.8428,3.6633,0
0.843,3.6644,0
0.8433,3.661,0
0.8435,3.6576,0
0.8437,3.6474,0
0.844,3.6417,0
0.8442,3.6451,0
0.8445,3.6531,0
0.8447,3.6769,0
0.8449,3.7098,0
0.8452,3.7313,0
0.8454,3.7483,0
0.8457,3.7562,0
0.8459,3.7664,0
0.8461,3.7766,0
0.8464,3.7823,0
0.8466,3.7834,0
0.8469,3.7959,0
0.8471,3.8197,0
0.8473,3.8481,0
0.8476,3.8651,0
0.8478,3.8707,0
0.8481,3.8741,0
0.8483,3.8662,0
0.8485,3.8492,0
0.8488,3.8322,0
0.849,3.822,0
0.8493,3.8209,0
0.8495,3.822,0
0.8498,3.8095,0
0.85,3.7993,0
0.8502,3.7891,0